name,desc,date
宓小丹123,还是一如既往的好吃，水果和奶油超多的。桔子郎的千层皮真的好好吃，薄薄软软香香的，中间夹一些些奶油，刚好，上面奶油和水果很多，芒果和奶油一起吃，一点都不腻，这款动物奶真的好好吃。我们两个大人一个孩子三个人都没吃完，份量很足。桔子郎的雪媚娘也很不错，又大又好吃。我第一次吃桔子郎到现在，已经好多年了，味道一直很好。我家宝宝也超爱吃。芒果有几块不太甜，大部分都很甜。下次尝尝榴芒味的。,2019年11月21日
sxa785394066,"草莓忘返真的超级好吃！！
也超好看！！",2020年2月3日
sxa785394066,"芒果超好吃 榴莲我感觉应该说千层皮上果肉倒是没吃到
但已经很值啦",2020年2月3日
crF836315952,味道挺好的 水果很多很新鲜，但是不怎么甜，下午三点去拿的 到晚上八点多才吃  已经有点想塌了 建议提好蛋糕三个小时内食用，推荐购买 性价比高,2019年12月30日
RBY956514800,今天我应该是最后一个客户！中午点美团外卖时，就爆单了，然后试着跟老板联系了一下，因为今天是女儿的生日，非常想要一个蛋糕。老板推迟工作时间爽快的给我加了个单！我去取的时候，帅气老板一定要让我在美团上下单，这样便宜点。嗯嗯，不仅仅是一个蛋糕，还收获了一份好心情，所以非常的感谢小boss！,2020年2月14日
PxV328044037,我上次在别家买了两个雪媚娘 价格比你家贵。就青团一样一点点。从此以后就认定你家。没去别的地方买过,2020年3月3日
xxp499025105,不错不错，雪媚娘味道很好哦！推荐一下！,2020年3月6日
PxV328044037,超赞。,2020年3月3日
宓小丹123,是我吃过最大最好吃的雪媚娘，榴莲味和芒果味的都超好吃。雪媚娘皮和奶油都非常好吃，而且超大，一个就吃饱了。买了好多次了，吃得太快，没拍照片，用上次的千层照片凑个数吧。桔子郎的奶油是我吃过最好吃的奶油，不腻。,2019年12月9日
时光0921，,现在的桔子郎已经不是以前的桔子郎了，雪媚娘一点都不好吃，草莓少的可怜，还一点都不甜，芒果的量也变少了，可以保持以前的水准吗？哪怕是涨价也可以啊？想当初第一次吃桔子郎家的蛋糕和雪胖子，都是连续买的，现在只能望而却步了，真的挺失望的！希望老板可以看到我的回复，哪怕是涨价也好，也不要降低质量吧！,2019年12月6日
胡春妹558,地方有点偏。买的券所以挺实惠的,2020年1月27日
匿名用户,味道还可以，就是有点偏,2020年1月27日
匿名用户,从老店就开始的老顾客了，挺好的，这个价位的6寸动物奶油蛋糕，怕是找不到第二家了吧，就是芒果稍微有点点酸，其他都好。,2019年12月11日
VSu808232461,雪媚娘没有以前好吃了，皮很厚，也不Q弹,2019年12月28日
匿名用户,临平街上开的算最老的一家甜品店，这么多年买过无数次，雪媚娘超大个，价格划算。,2019年12月20日
匿名用户,很喜欢这的雪媚娘，买过两次了，用美团更划算,2019年12月24日
vIq969911999,这家店位置不是特别好找，但是店已经开了比较久了，叫外卖的老用户比较多，我们家离这边比较远，所以外卖是叫不到的，我们出去玩一般路过这边就会去这边买点甜品吃，说实话性价比还是比较高的，他家的雪媚娘也是附近甜品最大的尺寸了！,2019年10月3日
匿名用户,买了很多次，这次的芒果太酸太酸，真的不好吃,2019年12月19日
MET469291390,好吃!芒果很新鲜!,2019年12月20日
eTD850499913,这家店在临平算是很好吃的了，味道很好也新鲜，强烈推荐。,2019年12月12日
匿名用户,物不美价不廉，怪不得没什么生意，不会去第二次,2019年12月13日
NOB938438508,很好吃，芒果也很新鲜，要的比较急也做出来了，点赞点赞👍🏻,2019年12月12日
文森0524,门头貌不惊人，但是味道超赞，回头客路过了就会来买一个。千层蛋糕喜欢芒果夹层，现在又推出了榴芒夹层，超赞。还有雪媚娘很好吃，第一次吃就是他们家，后来吃了很多别的家，没有这个味道。其他的吃了印象不深，哦，他们家蛋糕也很好吃！,2019年9月22日
avU704040992,物美价廉 超级好吃 很喜欢 老顾客了,2019年11月24日
avU704040992,超级棒棒哒 很好吃😋,2019年11月24日
vIq969911999,每次经过这边都会来点吃的，这家店开的这么久服务和口味都是非常经得起考验的，他家的雪媚娘的口感特别好，量也挺大的，吃一个就感觉非常满足，其它的甜点也很不错的，周边环境也挺不错的，非常适合傍晚过来散步，下次继续光顾,2019年9月16日
qed692958146,今天第二次来消费了，之前宝贝生日在他们家订了蛋糕 后来外婆外公生日妹妹在我的推荐下也来这边订了蛋糕 今天还是一如既往的支持！,2019年11月16日
智障宝宝。,"我一直都很喜欢这家店的蛋糕，自取时候兴致勃勃心情很好，不知道为什么门口小哥的白眼让人有些倒胃口。
【服务】：很差！",2019年11月14日
匿名用户,电话定了一个榴芒千层，给我做了一个芒果千层，回到家吃了才发现，无语,2019年11月1日
匿名用户,这里的雪媚娘真的很大个，我觉得性价比很高，口感也很好，值得推荐,2019年11月26日
匿名用户,量很足，很实惠，口味很赞，很爱吃这里的蛋糕,2019年11月26日
万人迷洁,太太太好吃了实在是！！真的太好吃了！吃了好几次了！我觉得是临平最好吃的奶油太爱了！强推推推！！,2019年10月27日
Qi8326115,口味很好，都已经习惯吃这家的蛋糕了。全家都喜欢吃，下次还要光顾。,2019年11月8日
匿名用户,非常好,2019年11月16日
Qi8326115,味道一如既往的好，蛋糕也很好吃很新鲜。,2019年11月8日
匿名用户,超级大一个雪媚娘 可可的超级好吃 榴莲的也8错,2019年10月9日
莉莎是只小恐龙,蛋糕超好吃😋，奶油超级棒一点也不腻,2019年10月7日
Tgt217518350,美味不用等，值得购买！环境不错，服务态度好。,2019年10月27日
rSD639805452,明明点的六寸，结果到店是五寸，然后榴莲味很淡几乎没有,2019年10月22日
匿名用户,经常在这家买，一直都很好，但是这次的我很失望 叫了个榴芒千层，当天拿回家吃的时候 榴莲酸酸的，有一股酒精的味道，第一次遇到这种情况，有点失望，其他都还好，天气炎热希望卖家确认水果无变质之后再制作吧,2019年8月12日
Tbq866555867,好吃,2019年10月16日
爱现晴,因为超出配送范围所以自己去拿的，然后临时蛋糕上的玩具坏了换了一个，蛋糕很漂亮，味道也很好吃，下次还会再来,2019年9月7日
匿名用户,蛋糕不错味道很好价格实惠，以后都在这家买了。,2019年9月20日
sweet–97,啊啊啊啊啊好好吃啊呜呜呜太好次了8！！！呜呜呜我爱！！！！,2019年8月13日
Trouble猫猫,儿子爱吃，就是感觉现在蛋皮少了，榴莲少了，但还是很好吃，清爽不腻,2019年8月20日
Tnn907938793,榴莲味的蛋糕超好吃，每月都会吃个1次😎,2019年8月29日
匿名用户,味道还是很好吃，但是这次买的不知道怎么回事吃了肚子痛拉肚子了，以前吃从来没有这种情况，我估计这个奶油有点不新鲜了，一直都喜欢吃这个蛋糕，但是希望卫生注意一下吧，不然对消费者身体也不好，三家店只剩下这一家了，希望可以一直开下去！,2019年7月12日
舔SHI,吃了无数次 价格便宜 味道好吃,2019年8月15日
vIq969911999,这家店应该是临平比较老的一家店了，他家的雪媚娘量应该是全临平最大的了，味道也比较正，吃多了也不会腻，所以每次经过必买，相信店家的用料也是没问题的，所以吃着也会比较放心，店的位置不是特别好找，应该这家店是以做外卖为主的。,2019年5月18日
鱼iou猫,一如既往的好吃,2019年6月23日
匿名用户,他家的雪媚娘不错，己多次购买，稍贵了点,2019年8月1日
消失了的小行星,超喜欢他们家的雪媚娘，馅很足、奶油也不腻，超爱，经常来买,2019年7月25日
匿名用户,不错，从读书的时候就开始吃了，一直不错,2019年7月20日
陈新立.,老板人品有问题，我五六年的老顾客最后一次买了！祝你生意兴隆吧！,2019年7月9日
陈与落叶,喜欢希望生意越来越好,2019年7月15日
原本一鑫,超爱了，不知道买了多少次了,2019年7月18日
bAP140032189,东站太大了咋办？，的决定了的决定了,2019年7月14日
匿名用户,虽然我减肥不吃，但是女儿他们很喜欢。我不减肥的时候我也超爱吃,2019年6月5日
G.D459,买了一个火龙果千层，很喜欢吃它家的,2019年7月1日
雅望夏木0521,【口味】奶油不腻，好吃，量不大,2019年6月11日
匿名用户,叫你们多加榴莲的，我真的没有吃到榴莲味，都是芒果，你可以榴莲的加价但是不要欺骗消费者说里面有榴莲,2019年5月11日
fcX959955932,一直是忠实的吃粉，味道超级超级超级赞，强烈推荐给大家!,2019年6月8日
LoveKiKi258,芒果很新鲜  也比较多  算是良心买家吧！有些细节还需改进！比如上面裱的花，为什么倒的特别快。,2019年4月1日
小妞同志,临时定的，10几分钟就做好了，速度快，味道还是和以前一样好,2019年5月21日
菠萝君爱吃凤梨,好吃，买了很多次了！,2019年6月1日
匿名用户,这家的蛋糕实惠 材料新鲜 买了好多年了 希望你家一直都在,2019年5月24日
PxV328044037,做为一个孕妇强烈推荐 奶油好清淡特别适合孕妇。,2019年5月24日
盼盼20020505,味道不错，价格也还行，买了好多次了。,2019年5月23日
兰兰19870114,这次的芒果好酸 好酸 好酸。。。。,2019年5月18日
阿萱v587,都不错，就是我要的是草莓和芒果的，结果给了木康和奥利奥,2019年5月13日
佳太后,感觉没以前好吃啊，不过电话预定然后过去拿早就给我放冰柜里准备好了,2019年3月15日
万人迷洁,奶油巨巨巨巨好吃！！！！我的妈啊！！必须给我买它！！！,2019年3月2日
DyY353172685,卫生，干净，味道舒服，挺喜欢他们家的,2019年3月23日
佳太后,反正老顾客了，还会再去买千层的，不过今天装雪媚娘的盒子破了,2019年3月12日
萌萌哒大人,吃千层的首选店家！一直是你，从未改变！,2019年3月18日
匿名用户,千层好吃好吃好吃好吃好吃好吃好吃好吃 #榴芒千层蛋糕#,2019年3月12日
fannyd87,好吃不腻，喜欢,2019年3月14日
ZgB902617762,这几年价格没变，东西越来越不行了，都是蛋皮叠在一起的，奶油少的可怜，现在这款又小又薄，太偷工减料了吧，我一直认为保健路这家最老最有保证，失望啊，以前不是这样的啊,2019年1月3日
匿名用户,千层不错，水果量很足，很新鲜。,2019年1月24日
匿名用户,蛋糕不错，性价比很高，第二次买了！,2019年2月27日
匿名用户,千层不错，但是雪媚娘真心不好吃，皮那么薄，外面的玉米粉也太多了，不好吃,2019年1月24日
匿名用户,不是那种很甜的，口感不错，甜而不腻,2019年2月20日
lkJ873360069,好吃好吃好吃,2019年2月21日
lkJ873360069,很好v 吃、👍,2019年2月21日
NOu207855183,很好吃，非常喜欢💕,2019年1月28日
匿名用户,芒果千层不错 买了好多次了，继续回购,2019年1月23日
guyuerenqing16,一直千层买的这家不错！！,2019年1月21日
羊羊羊芈,很久很久以前了，他们家千层蛋糕很实惠又好吃！,2019年1月14日
pAj826388284,这个有六寸嘛 *** 以后别想我这个客户了,2019年1月1日
蓝色妖姬23,买了多次，昨天提了点小要求也满足了，很不错。推荐这家保健路的店啦！,2018年12月13日
Znn659178494,一直都吃他们家的蛋糕🍰，我的私房蛋糕店,2019年1月6日
匿名用户,挺好的，奶油我吃不太惯，有点腥。其他都还不错,2019年1月6日
Znn659178494,只要想吃蛋糕必点他家！,2019年1月6日
匿名用户,感觉没有以前好吃了，皮也不是很嫩了,2019年1月5日
匿名用户,朋友推荐说很棒的！！！,2019年1月1日
lkJ873360069,他们家的千层真的没话说、好吃、分量也足,2018年12月29日
mfi286581515,很好吃.继续支持,2018年12月31日
qlt116787479,非常喜欢这款蛋糕非常好吃，价格实惠,2018年12月26日
匿名用户,感觉没以前的大了，上面的花也没以前精致了，这种花不好看，搞得奶油吃起来都感觉没以前细腻了，不知道怎么回事,2018年12月11日
dHY894342817,这是四角包还是啥，做雪媚娘你们是认真的吗,2018年12月3日
匿名用户,还不错，两个人吃不完，奶油和水果都很新鲜，奶油也不腻，多次回头客啦，赞赞赞，主要是非常实惠！,2018年11月16日
npb143763228,常购买 非常喜欢 超级好吃 物美价廉  不腻,2018年12月15日
夏沸er,还不错啦啊啊啊啊啊店铺有点难找倒是,2018年12月16日
tyxbbin,味道不错，地方布置的比较暖心，下次还要来买。,2018年12月8日
yGd607307539,特别好吃,2018年12月14日
tyxbbin,东西不错，服务热情，味道也非常好。,2018年12月8日
tOm191564722,味道好，经常买,2018年12月6日
情路难_,味道很好 很喜欢 经常买,2018年12月3日
tOm191564722,好吃的，经常点,2018年12月6日
一个人我行,味道挺好的，但吃到了芒果皮…大老远的从萧山跑过来…,2018年11月17日
tongyebo,【口味】很不错，不油腻,2018年11月22日
匿名用户,还可以吧，经常光顾，但是可以出一点新品了,2018年11月18日
匿名用户,比以前的口味差一点，虽然我都吃了，哈哈哈,2018年11月17日
Loujie012,蛋糕味道很不错，奶油很新鲜，家里人过生日都是买这个。,2018年11月10日
guyuerenqing16,反正千层大临平首选！,2018年11月17日
guyuerenqing16,好吃！,2018年11月17日
helen敏敏,新鲜,2018年11月17日
UxR129638000,超级大的雪媚娘,2018年11月15日
DearMiss_jing,一直这里买蛋糕，很好吃，价格实惠！推荐！,2018年11月11日
DearMiss_jing,好吃的千层蛋糕！,2018年11月11日
DearMiss_jing,好吃！,2018年11月11日
猪不去的坏,好吃，特别好吃，就是一天不吃好，放到第二天就不好吃了,2018年9月30日
mpL540293115,蛋糕口味清淡，很喜欢，服务态度很好，美女还送了冰袋。打开时忘记拍照了，吃得差不多了才想起来，本人不是很喜欢太甜，奶油太多的蛋糕，这个裸蛋糕真正是极好的呢！如果您也不太喜欢太甜的，可以考虑一下喔！好评！好评！好评！,2018年8月20日
谢彩云243,非常好吃,2018年11月2日
lkJ873360069,他们家千层真的好吃、而且价格很实惠分量也很足,2018年10月16日
Crystal_iny,芒果太酸～奶油不够甜～。吃过两次，上次是芒果不新鲜，奶油太甜，这次直接很淡,2018年10月13日
ichen2,感觉没有以前好吃了 到店吃环境真的好差啊,2018年10月16日
给我1首歌的时间,不错的,2018年10月19日
jhh962704150,芒果有点酸，榴莲很少，作为桔子郎的招牌，选料必须慎重啊,2018年10月7日
yiraner2008,很好吃,2018年10月17日
匿名用户,味道不错哦不错哦～等着草莓味的雪媚娘～,2018年10月13日
lkJ873360069,好吃、分量又足.奶油不是很甜那种,2018年10月9日
jGy224728538,雪媚娘买了好多次了，桔子郎的味道最好，量最足！ #芒果千层蛋糕# #木糠杯# #芒果雪媚娘#,2018年10月1日
lkJ873360069,好吃、又不是很甜.分量又足,2018年10月9日
燕19870717,好吃,2018年10月8日
limonada_,最爱白白胖胖的雪媚娘，奥利奥的和木糠的很赞,2018年10月3日
做人要善良哇,好吃,2018年10月5日
lkJ873360069,他们家蛋糕真的好吃、而且水果分量也很足的.奶油又不是很甜的,2018年9月16日
匿名用户,不错不错，已经来买过很多次了。,2018年9月23日
匿名用户,在保健路那家买的榴芒蛋糕 芒果切的超大块 一点都不精致 芒果太大块太多导致 奶油没多少 吃起来不太美味 （没九曲营路买的好吃 但好像那家关了？ ）☹️,2018年8月30日
玫瑰炎炎,没以前做的好了，口感上差了……都是几年的老顾客了,2018年8月16日
iVn414718637,连冰袋都没有给一个到家以后全部化了然后味道很淡,2018年8月17日
DVy982626262,挺好的,2018年8月24日
Uhk777792417,东西味道一般，泡芙味道怪怪的，价格还行。,2018年8月13日
匿名用户,买了好几次了，味道一如既往赞。 #雪媚娘#,2018年8月10日
绝版贝贝m,上午九点订的，下午三点半去拿竟然说忘了，那么热的天又等了会，关键车还停在路边没车位，懊恼,2018年7月29日
匿名用户,不错不错，味道好极了。,2018年8月10日
王芳316,一般吧，价格高的，有可能是晚上去的关系吧,2018年8月3日
匿名用户,想吃蛋糕的时候就会想到桔子郎的这款，但觉得比以前小一些了！希望质量一直不变希望每款的质量越来越好才好哦！,2018年7月16日
玫瑰炎炎,都老顾客，没以前做的好…………,2018年8月4日
zBT154657585,实物跟图片严重不符啊，太失望了，第一次买这款,2018年6月30日
FGV401255812,很好吃,2018年7月24日
爱吃好面,听朋友介绍，期望太高。然而并没有给我惊喜,2018年7月17日
匿名用户,菜品可以，口味可以，环境可以。,2018年7月16日
曦曦ccxx,这次的没有以往的好吃，这次的奶油寡淡无味，连芒果的味道都比不上，有点失望,2018年7月3日
匿名用户,口味可以，份量也不错，挺爱吃的,2018年7月10日
匿名用户,蛋糕味道一如既往的好，口味刚刚好，不会很甜，赞,2018年7月2日
匿名用户,好吃，水果很多，价格实惠，好的呢,2018年7月1日
匿名用户,好吃,2018年7月9日
1990.4.2,挺不错的，奶油不腻，喜欢,2018年4月29日
头痛啊名字,挺好吃啊,2018年6月2日
_qq56h1375174833,很好吃，不甜不腻，芒果量很多！ #榴芒千层蛋糕#,2018年4月8日
小鱼缸_,刚搬到这边住，是朋友推荐的这家店，说橘子郎的甜品特别好吃，打电话预定以后二十分钟就可以过去取了，店铺位置也好找，5寸的两个人吃刚刚好，淡奶油不油腻，上面的芒果很甜，感觉料用的都很好的，味道特别好，下次还会来的哈哈哈,2018年2月14日
匿名用户,真的好吃，而且相对美团价格来说也比较实惠,2018年5月20日
ImO958938090,不错,2018年5月27日
美少女壮士_leo,生日必到桔子郎的夏天,2018年5月24日
ohhobaby,很大的雪胖子,2018年5月25日
lkJ873360069,他们家的我千层真的超好吃、而且料超足的.,2018年5月20日
yaoyan0205,一直是橘子郎的铁粉，经常回购,2018年5月17日
buddy622,"味道不错，新鲜，量大，
【环境】不错，干净！",2018年5月12日
mUh845644038,好吃,2018年5月1日
江南墙头草,桔子郎的夏天，额额额，干净卫生，味道不错啊！值得推荐。老板人很好，推荐说美团买会有优惠 #榴莲蛋糕# #榴芒千层蛋糕# #芒果千层蛋糕#,2018年4月2日
匿名用户,#雪媚娘# #芒果# #千层蛋糕# #雪胖子# #草莓蛋糕# #芒果千层#,2018年4月23日
养乐多xl,太甜了点，容易吃胖哈哈哈哈,2018年4月21日
ohY593261801,好吃,2018年4月21日
匿名用户,人均消费大概填了一下，现货没有很多，都要等做起来，现在感觉桔子郎都买美团货了。,2018年4月3日
龙雀8888,草莓很多 也没那么甜 不错.....,2018年4月15日
zp小公举,挺好的味道，价格实惠！！！！！！,2018年4月13日
濮1223000,经常购买，很好吃，下次还会买的。,2018年4月13日
钧玲轩,每次都是冲着雪媚娘去的，但唯一不足的是里面的馅不多！味道是还好吃的！,2018年4月3日
匿名用户,每次买雪媚娘认牢这家，口感不错，美团价格也实惠！,2018年4月3日
钧玲轩,雪媚娘的口感不错，希望里面的水果多一点那就完美了,2018年4月3日
匿名用户,雪媚娘，芒果千层蛋糕都好吃，就希望水果多放点就更好了,2018年4月3日
匿名用户,强烈推荐雪媚娘！还有芒果千层蛋糕！味道都好,2018年4月3日
Elopek,买给老弟和姑姑吃的 都说挺好吃哒,2018年3月1日
匿名用户,奔着雪媚娘，芒果千层蛋糕去的，味道好！,2018年4月3日
Zcq198304,很新鲜，好吃,2018年4月7日
